"","GSM5319592_200121140049_R01C02","GSM5319603_3999356129_R02C02","GSM5319604_3999547012_R02C01","GSM5319607_3999547012_R03C02","GSM5319609_3999547016_R02C01","GSM5319613_3999547017_R02C01","GSM5319615_3999547017_R04C01","GSM5319616_3999547017_R06C01","pValues_wilcox_first50k","corrected_pValues_BH","corrected_pValues_Bonf"
"cg04413754",0.194223401119953,0.230282581189372,0.333954528512859,0.106256610528029,0.248920419494139,0.212266532054518,0.146546674476809,0.158665806689395,0.0285714285714286,0.996460956409655,1
"cg04533302",0.955781807372176,0.967410499277573,0.967081979929219,0.949772946195129,0.962836822598417,0.955976305042255,0.955107927056197,0.95573448704082,0.0285714285714286,0.996460956409655,1
"cg08351598",0.944083526682135,0.901993355481728,0.91519302615193,0.943910641364401,0.832740213523132,0.93460909702856,0.936344663088849,0.949765990639626,0.0285714285714286,0.996460956409655,1
"cg08777147",0.106235565819861,0.184896847022188,0.238369905956113,0.0750858337065234,0.154433602036487,0.131672597864769,0.130250574990921,0.100935307872175,0.0285714285714286,0.996460956409655,1
"cg09792758",0.218125960061444,0.326732673267327,0.314963797264682,0.224066390041494,0.423226812159002,0.230276331597917,0.220619658119658,0.205804749340369,0.0285714285714286,0.996460956409655,1
"cg10984692",0.951366014338306,0.873501997336884,0.929771265189421,0.941266860167321,0.909215484755053,0.93618320610687,0.949877276837618,0.944078043418522,0.0285714285714286,0.996460956409655,1
"cg12057563",0.448516579406632,0.70062893081761,0.724756375699772,0.631193500400503,0.696418419556566,0.631436978911231,0.607513259411942,0.597746650426309,0.0285714285714286,0.996460956409655,1
"cg12644927",0.943759523479706,0.958053691275168,0.960420786973561,0.9468763544053,0.957279438460607,0.951453812505361,0.94059717899616,0.949772744780834,0.0285714285714286,0.996460956409655,1
"cg16963297",0.863459212471442,0.772699197035207,0.770786262991414,0.915585135884637,0.774695726011888,0.823261858349578,0.827908587257618,0.860448616492932,0.0285714285714286,0.996460956409655,1
"cg18610223",0.0693235097119893,0.126026272577997,0.0878423513694055,0.0476801308514869,0.189822755860492,0.0724764924820702,0.0723688562545479,0.0463838877021666,0.0285714285714286,0.996460956409655,1
"cg19964192",0.946432352318442,0.904109589041096,0.940566037735849,0.943240651965484,0.867455621301775,0.933527967753993,0.946327212020033,0.94985009539384,0.0285714285714286,0.996460956409655,1
"cg22363893",0.503238664673642,0.252307692307692,0.297433183381847,0.489979060723901,0.288817891373802,0.357030841610037,0.430509596293845,0.441690639522018,0.0285714285714286,0.996460956409655,1
"cg23647143",0.222941176470588,0.275784753363229,0.251101321585903,0.0903482587064677,0.235684647302905,0.255686457482795,0.185822054581762,0.208204675782973,0.0285714285714286,0.996460956409655,1
"cg25560327",0.0935402684563758,0.096274217585693,0.109180231705529,0.0542190867394868,0.162369337979094,0.126803807184526,0.0954986855518,0.077618537369408,0.0285714285714286,0.996460956409655,1
"cg25916188",0.849113107578899,0.77257525083612,0.799204478491455,0.805045242665204,0.77373417721519,0.761391527051542,0.844338742771871,0.872944434827765,0.0285714285714286,0.996460956409655,1
"cg26289980",0.214091004403439,0.256240822320117,0.404396984924623,0.175604577873611,0.570336391437309,0.29868987953926,0.232976833070708,0.253970054446461,0.0285714285714286,0.996460956409655,1
"cg00042144",0.0512253917235838,0.0822244967587854,0.062746006019912,0.0500655307994758,0.0928989564774752,0.0542776766506702,0.0356345835433014,0.038830342732365,0.0285714285714286,0.996460956409655,1
"cg00306390",0.125755462575546,0.149305555555556,0.204374057315234,0.131720430107527,0.263510282161645,0.151081424936387,0.14797854245715,0.138884371442511,0.0285714285714286,0.996460956409655,1
"cg00546078",0.912471395881007,0.790344827586207,0.852244696595955,0.89272030651341,0.717421124828532,0.882948622486969,0.901968955099489,0.901029295328583,0.0285714285714286,0.996460956409655,1
"cg00566331",0.199292831886853,0.307211184694628,0.282888229475767,0.184587643541805,0.340902639795629,0.419008630227927,0.196121772329951,0.153964194373402,0.0285714285714286,0.996460956409655,1
"cg00812299",0.0680326556747239,0.0725415070242657,0.0828481435525437,0.0624484181568088,0.132827324478178,0.0680794701986755,0.0566753616314916,0.060192575650538,0.0285714285714286,0.996460956409655,1
"cg00822030",0.37588371324744,0.670786277434477,0.500121658729883,0.351114368705378,0.481113801452784,0.495360279006041,0.478413953740317,0.385180756787171,0.0285714285714286,0.996460956409655,1
"cg00823843",0.628037861345613,0.544262295081967,0.567849949647533,0.638073540320017,0.6190833959429,0.589507507878638,0.646421346577376,0.70959887222863,0.0285714285714286,0.996460956409655,1
"cg00891176",0.914178168130489,0.871037463976945,0.889663918833228,0.922856295124122,0.777114427860697,0.886802795669453,0.894934091496511,0.90601579906826,0.0285714285714286,0.996460956409655,1
"cg01442889",0.863176680547293,0.777117384843982,0.742054693274205,0.846315237345922,0.678147268408551,0.822046465645082,0.829196082896834,0.843624406284253,0.0285714285714286,0.996460956409655,1
"cg01565291",0.621809744779582,0.436578171091445,0.401742919389978,0.599006387508872,0.407047387606318,0.509466437177281,0.566728280961183,0.618224932249323,0.0285714285714286,0.996460956409655,1
"cg02066716",0.958950800237107,0.950152207001522,0.950782781232608,0.959984864251253,0.935112359550562,0.946280991735537,0.958542713567839,0.959543497573977,0.0285714285714286,0.996460956409655,1
"cg02366575",0.0683809523809524,0.0812034940148819,0.0982487725040916,0.0667285382830626,0.158139534883721,0.0824963322424106,0.0673932788374205,0.0740395809080326,0.0285714285714286,0.996460956409655,1
"cg02668655",0.825105243015691,0.68452380952381,0.708838821490468,0.8270584634221,0.742526518804243,0.811180124223603,0.824952259707193,0.851378958120531,0.0285714285714286,0.996460956409655,1
"cg03119829",0.193758127438231,0.364285714285714,0.419907342411905,0.231119121180913,0.454302868579053,0.541916936869895,0.251099651145154,0.242440318302387,0.0285714285714286,0.996460956409655,1
"cg03144619",0.75441722345954,0.83897500790889,0.894984594317015,0.552488354988968,0.760052447552448,0.853767244428723,0.60760167850226,0.647582037996546,0.0285714285714286,0.996460956409655,1
"cg03312332",0.817547173685399,0.871610660486674,0.847343397815927,0.748494535722251,0.913120833646201,0.866400491400491,0.811156001563925,0.769491276018844,0.0285714285714286,0.996460956409655,1
"cg03396826",0.459535936615733,0.386696730552424,0.310650069156293,0.528983050847458,0.309368191721133,0.245672017626692,0.424922286795513,0.399065732399066,0.0285714285714286,0.996460956409655,1
"cg03427058",0.330906095551895,0.400316098442086,0.458452587622578,0.256007112223311,0.494568497284249,0.457506877081222,0.266283877946046,0.349231009471363,0.0285714285714286,0.996460956409655,1
"cg03750567",0.90653996646171,0.924014336917563,0.947045584925643,0.861398065340391,0.951071159435892,0.945100732600733,0.755058178314682,0.801547158583755,0.0285714285714286,0.996460956409655,1
"cg03936071",0.873032206816869,0.619899385131358,0.825735739594999,0.874063126781379,0.655238095238095,0.806894561049029,0.897073765494818,0.869324473975637,0.0285714285714286,0.996460956409655,1
"cg03982831",0.19781391628899,0.374439461883408,0.20035849432384,0.136593091161041,0.263548951048951,0.418080203941563,0.121337226865371,0.133053447440659,0.0285714285714286,0.996460956409655,1
"cg03994053",0.0771341463414634,0.0899632802937576,0.0817625458996328,0.0662481414174789,0.183690280065898,0.0811274509803922,0.0737720111214087,0.0693470048569887,0.0285714285714286,0.996460956409655,1
"cg04012515",0.909297052154195,0.805714285714286,0.848906560636183,0.903851723139299,0.740291262135922,0.811912225705329,0.89041496201052,0.912554663807114,0.0285714285714286,0.996460956409655,1
